Company,Sector,Stage,Amount,Location,About,Funding Year
Bluejack,Autonomous Vehicles,Early Stage,934400.0,New Delhi,Delhibased online used vehicles marketplace,2018
Pregbuddy,Enterprise Software,Early Stage,1300000.0,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers,2018
Agnext Technologies,Agriculture,Mid Stage,1300000.0,Mohali,AgNext is an agricultural sensing and solutions company focused on building datadriven solutions for agricultural stakeholders,2018
Pando,Logistics,Early Stage,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies,2018
Mintifi,Financial Services,Early Stage,2000000.0,Mumbai,Online lending startup based in Mumbai,2018
Carcrew,Automotive,Early Stage,2000000.0,Mumbai,Indias Online Auto Repair Marketplace,2018
Nicheai,Artificial Intelligence,Other Stages,1300000.0,Hyderabad,Early stage Artificial Intelligence AI start up,2018
Chariot Tech,Internet Of Things,Early Stage,292000.0,New Delhi,Chariot Tech is an Internet of Things IoT startup based in New Delhi,2018
Ideal Insurance Brokers/ 121Policy.Com,Insurance,Early Stage,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain,2018
Loanzen,Financial Services,Early Stage,1300000.0,Bengaluru,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices,2018
Mojro Technologies,Information Technology,Early Stage,650000.0,Bengaluru,Mojro envisions to be the worlds largest technologyenabled logistics platform,2018
Elemential,Blockchain,Early Stage,1000000.0,Mumbai,Blockchain Development Platform To Design Run  Scale Blockchain Networks,2018
Loadshare,Industrial Automation,Mid Stage,5000000.0,Bengaluru,LoadShare is Indias fastest growing logistics company,2018
Yumlane,Food And Beverage,Mid Stage,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018
Kriger Campus,Education,Early Stage,438000.0,New Delhi,A Education Start Up,2018
Pipa+Bella,E-Commerce,Mid Stage,1000000.0,Mumbai,PipaBella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018
Kaleidofin,Financial Services,Early Stage,2800000.0,Chennai,A fintech platform,2018
Chakr Innovation,Renewable Energy,Early Stage,1300000.0,New Delhi,Chakr has developed the worlds first retrofit emission control device for diesel generators,2018
Indigolearn,E-Learning,Early Stage,150000.0,Hyderabad,Indias the premier education destination catering to the needs of aspiring students of the CA community,2018
Uclean,Clean Energy,Early Stage,584000.0,India,UClean is a tech enabled laundry service provider,2018
Coutloot,E-Commerce,Early Stage,1000000.0,Mumbai,The Fashion Recommerce platform,2018
Letstrack,Apps,Early Stage,1700000.0,New Delhi,Letstrack GPS tracking devices to track your kids bike car and other vehicles GPS trackers for Vehicle Tracking System in India,2018
Pooltoo,Transportation,Early Stage,1300000.0,New Delhi,Pooltoo offers a premium ride sharing platform,2018
Finzy,Financial Services,Early Stage,1300000.0,Bengaluru,finzy is the premier peer to peer lending solution in India,2018
Fitternity,Fitness,Early Stage,2000000.0,Mumbai,Indias largest online fitness platform that provides an integrated ecosystem to help users start  sustain their fitness journey,2018
Keito,Artificial Intelligence,Early Stage,1300000.0,Pune,Building an Intelligent Digital Assistant,2018
Tolet For Students,Hospitality,Early Stage,73000.0,Jodhpur,Reserve your Room Hostel or Paying Guest while relocating for higher education,2018
Chai Kings,Food And Beverage,Early Stage,292000.0,Chennai,Chai Kings is a tea retail chain,2018
Dainik Jagran,Media And Entertainment,Early Stage,584000.0,Kanpur,Dainik Jagran is a media and communications group,2018
Playtoome,Broadcasting,Early Stage,292000.0,Bengaluru,Playtoome is a live entertainment destination,2018
Ongo Framework,B2B,Other Stages,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider,2018
Notesgen,Edtech,Early Stage,182500.0,New Delhi,A Global PeertoPeer and PeertoGroup Learning Platform that helps students supplement their academic  competitive exam prep,2018
Arogya Medtech,Health Care,Early Stage,219000.0,Kolkata,Arogya MedTech is a Research  Development organization in BioMedical industry,2018
Propshop24,E-Commerce,Early Stage,500000.0,Mumbai,Propshop24 a onestop shop for a handpicked selection of funtastic products from around the world,2018
Myupchar,Health Care,Mid Stage,5000000.0,New Delhi,To bring health issues to people in their language,2018
Missmalini Entertainment,,Early Stage,1518400.0,Mumbai,MissMalini Entertainment is a multiplatform new media network dedicated to Entertaining Connecting  Empowering young Indians,2018
Rooter,Sports,Early Stage,657000.0,India,Rooter is a mobilebased platform,2018
Zestmoney,Big Data,Mid Stage,13400000.0,Bengaluru,Zest is Indias first completely automated consumer digital lending platform,2018
Alphaics Corporation,Cloud Computing,Early Stage,1300000.0,Bengaluru,Advancing AI compute,2018
Mydentistchoice,Health Care,Early Stage,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018
Sattviko,Food Processing,Other Stages,1300000.0,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty,2018
Sensibull,Trading Platform,Early Stage,365000.0,Bengaluru,Investment Management Platform,2018
Bombay Shaving Company,Consumer Goods,Mid Stage,1300000.0,New Delhi,Bombay Shaving Company is a Mens grooming startup,2018
Medcords,Wellness,Early Stage,385440.0,Pune,Medcords is Indias first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018
University Living,Education,Early Stage,1300000.0,New Delhi,University Living is an online global student housing marketplace,2018
&Me,Food And Beverage,Early Stage,1300000.0,Bengaluru,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness,2018
Enakshi,Fashion,Early Stage,116800.0,Ahmedabad,Enakshi is an online apparel brand for women,2018
Ultraviolette Automotive,Automotive,Mid Stage,876.0,Bengaluru,Ultraviolette is a startup working on electric twowheelers and energy infrastructure,2018
Inthree Access,Consulting,Mid Stage,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India,2018
Bugworks Research India,Biotechnology,Mid Stage,9000000.0,Bengaluru,BUGWORKS is a drug discovery company,2018
Guardian.In,Health Care,Early Stage,1300000.0,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the worlds largest company,2018
Prestloans,Credit,Early Stage,100000.0,New Delhi,PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy quick n hassle free loans,2018
Wimoxez,Internet,Early Stage,20000.0,Hyderabad,Data Intelligence Publishing Platform We bring the best resources to learn valuable technologies which will shape tomorrow,2018
India Accelerator,Communities,Other Stages,1300000.0,Gurugram,India Accelerator runs mentorshipdriven incubation and acceleration programs for start ups,2018
Happyemi,Consumer,Early Stage,1000000.0,Bengaluru,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases instore and online,2018
Wishup,Consumer Applications,Early Stage,1300000.0,Azadpur,Premium Personal Assistance service,2018
Hansel.Io,Mobile,Mid Stage,4000000.0,Bengaluru,Hansel a mobile app management platform provides the infrastructure that companies need in order to personalize product experiences,2018
Propelld,Education,Early Stage,250000.0,Bengaluru,Propelld is a student education financing platform,2018
Pivotroots,Advertising,Mid Stage,1300000.0,Mumbai,Digital Marketing powered by Data  Technology fueled by Design thinking,2018
Ziffyhomes,Marketplace,Early Stage,120000.0,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent,2018
Carmesi,Health Care,Early Stage,496400.0,Gurugram,Carmesi is a brand of highend menstrualhygiene products in India,2018
Ockypocky,E-Learning,Other Stages,1300000.0,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids,2018
Racetrack,Artificial Intelligence,Early Stage,4993200.0,Bengaluru,Racetrack is a sales and supportfocused AIdriven platform designed for education real estate and ecommerce sectors,2018
Whr,Health Care,Early Stage,143145.0,Pune,WHR is to make affordable healthcare a reality for all Our vision is to make healthcare services easier better and more accessible,2018
Asteria Aerospace,Aerospace,Early Stage,1300000.0,Bengaluru,Asteria Aerospace is a robotics and artificial intelligence company,2018
Faballey,E-Commerce,Mid Stage,8760000.0,Noida,FabAlley is the ultimate Indian fashion destination for fashionforward indiechic girls Founded in 2012 Tanvi Malik and Shivani Poddar,2018
Tranzmeo,Artificial Intelligence,Other Stages,1300000.0,Cochin,Tranzmeo Connect  is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights,2018
Sbi Life,Insurance,Other Stages,742000000.0,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family,2018
Studds Accessories,E-Commerce,Other Stages,14600000.0,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018
Design Cafe,Home Decor,Mid Stage,29200000.0,Bengaluru,Design  Execution Organization that delivers beautiful  innovative designs for Home Interiors in any budget,2018
Nopaperforms Solutions Pvt. Ltd.,Edtech,Mid Stage,3980000.0,New Delhi,NoPaperForms is a marketing automation lead nurture and enrolment management platform for educational institutions,2018
Rays Power Infra,Energy,Health Care,29200000.0,Jaipur,Rays Power Infra is a leading integrated Solar Power Company,2018
Authmetrik,B2B,Other Stages,10000.0,Gurugram,SaaS B2B Security Stop account sharing Fraud Detection,2018
Khidki,Artificial Intelligence,Early Stage,1300000.0,Bengaluru,Vernacular Social Network Focused on Town Level Content and Interactions,2018
Letstransport,Logistics,Mid Stage,14600000.0,Bengaluru,Lets transport is a logistics solution provider,2018
Next Digital Solutions,Digital Marketing,Other Stages,1460.0,Kota,Next Digital Solutions is website design  Digital Marketing development company,2018
Portea Medical,Health Care,Other Stages,3650000.0,Bengaluru,Portea Medical is the largest and fastest growing provider of inhome medical care in India today with a 24city network,2018
Aavas Financiers,Finance,Other Stages,29200000.0,Jaipur,Aavas Financiers is engaged in the business of providing housing loans primarily in the unserved unreached and underserved market,2018
Swiggy,Food Delivery,Late Stage,1000000000.0,Bengaluru,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants,2018
Milkbasket,E-Commerce,Mid Stage,7000000.0,Haryana,Milkbasket delivers milk bread eggs butter juices and other daily need items every morning right at your doorstep free of charge,2018
Nutrisattva (Proliva),Fitness,Other Stages,1300000.0,Anand,Nutrisattva is a protein innovation compan,2018
Toppr,Edtech,Mid Stage,35000000.0,Mumbai,Topprcom is an online preparation platform for entrance exams in India,2018
Jagaran Microfin,,Other Stages,8030000.0,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018
Vivriti Capital,Financial Services,Financial Services,28500000.0,Chennai,Vivriti Capital is an online platform for institutional debt in India,2018
Be U Salons,Apps,Early Stage,438000.0,New Delhi,Be U is Indias first subscription based Salon Chain,2018
Impact Guru,Creative Agency,Mid Stage,2000000.0,Mumbai,Were a Harvard incubated crowdfunding platform for nonprofits social enterprises startups and individuals,2018
Mobikwik,Consumer Lending,Late Stage,3504000.0,Gurugram,MobiKwik is a payments backed fintech platform in India MobiKwik App offers instant loans  investment products to the 500M masses of India,2018
Stones2Milestones,E-Learning,Early Stage,1300000.0,Gurugram,Stones2milestones is a Gurgaon Based Learning Company,2018
Generico,Health Care,Mid Stage,1300000.0,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines,2018
Adiuvo Diagnostics,Health Diagnostics,Early Stage,1300000.0,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India,2018
Datatrained,Edtech,Early Stage,1752000.0,Bengaluru,DataTrained is a educational platform which operates an edtech startup on data science,2018
Oneassist,Financial Services,Other Stages,2400000.0,Mumbai,OneAssist is a protection  assistance services platform,2018
Satin Creditcare Network Limited (Scnl),Banking,Other Stages,30000000.0,New Delhi,Satin is a nonbanking finance company providing individual loans to urban shopkeepers,2018
Apac Financial Services,Finance,Other Stages,36500000.0,Mumbai,APAC Financial Services is a financial services platform,2018
Moglix,B2B,Mid Stage,23000000.0,Noida,Moglix is a supplier of industrial tools like hand tools power tools electrical and safety equipment,2018
Sedemac Mechatronics,Automotive,Apps,1300000.0,Mumbai,SEDEMAC Mechatronics is technology company that distributes controlintensive products for automobiles,2018
Madguy Labs,E-Learning,Financial Services,150000.0,Hyderabad,MadGuy Labs is a Online Testprep Platform,2018
Dee Dee Labs,Embedded Systems,Early Stage,1300000.0,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses,2018
Fleeca,,Early Stage,1300000.0,Jaipur,FLEECA is a Tyre Care Provider company,2018
Shop101,Apps,Mid Stage,11000000.0,Mumbai,1 Online Selling App Indias leading social commerce platform Setup free online store in 2 min Sell own goods or resell Shop101 Supply,2018
Feedmypockets,Advertising,Early Stage,642400.0,Bengaluru,On Demand Staffing Platform,2018
Housejoy,Beauty,Mid Stage,3240000.0,Bengaluru,Housejoy is a webbased platform that allows individuals to browse and book service providers for their homes,2018
Ambee,Health Care,Other Stages,1300000.0,Bengaluru,Ambee is an Environment analytics startup,2018
Foodbuddy,Food Delivery,Early Stage,876000.0,Belgaum,FoodBuddy is a online food delivery portal providing boundary breaking delivery,2018
Ninjacart,Agtech,Mid Stage,36500000.0,Bengaluru,Ninjacart is a B2B agrimarketing platform that connects vegetables and fruits farmers directly with businesses,2018
Olly Smart Credit Card,Credit Cards,Early Stage,1300000.0,New Delhi,Olly is a digital credit card for Indias working masses and young people,2018
Zestl,Software,Early Stage,1300000.0,Pune,NoCode Workflow Automation Build enterprise applications in days with AI Cognitive Automation Collaboration and more built in,2018
Byju’S,Edtech,Other Stages,540000000.0,Bengaluru,BYJUs is an edtech company that is reinventing how students learn through its learning app,2018
Wakefit,Manufacturing,,9490000.0,Bengaluru,Wakefitkart is a mattress manufacturing company We manufacture the best quality mattresses at affordable prices,2018
Hero Electric,Manufacturing,Health Care,23360000.0,New Delhi,Hero Electric a 100 subsidiary of the Hero Group is a pioneer in the Indian Electric Vehicle Industry,2018
Pentation Analytics,Information Services,Early Stage,1300000.0,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite an Insurance specific AIML Software Suite,2018
Perkfinance,Consumer Lending,Early Stage,900000.0,Bengaluru,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018
Roposo,Internet,Mid Stage,10000000.0,Gurugram,Roposo  TV by the People is a unique social media platform where people express visually with homemade videos and photos,2018
Plum Goodness,Beauty,Mid Stage,1300000.0,Thane,Plum Haircare Is SiliconeFree  SulphateFree Designed For Damaged  DandruffFree Hair,2018
Drstore,Hospital,Early Stage,1300000.0,Mumbai,Drstore is a exclusive e commerce platform,2018
Wow Venue,Events,Apps,1500000.0,Mumbai,Wow Venue is an online platform,2018
Chizel,3D Printing,Early Stage,1300000.0,Pune,Chizel is a worlds most advanced cloud platform for ondemand manufacturing in 3D Printing and CNC Machining,2018
Oto Capital,Automotive,Early Stage,730000.0,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever,2018
Boodmo,Automotive,Early Stage,1022000.0,Gurugram,boodmocom  large online marketplace for auto parts in India,2018
Khabri,Apps,Early Stage,1300000.0,Haryana,Khabri is a digital audio platform for content in vernacular,2018
Mynewcar.In,Automotive,E-Commerce,1000000.0,Gurugram,MyNewCarin offers new cars at best price with great deals Book a new car online or request a doorstep test drive,2018
Halaplay Technologies,Digital Entertainment,Mid Stage,5000000.0,Bengaluru,A daily fantasy sports platform,2018
Planetspark,E-Learning,Early Stage,233600.0,Gurugram,PlanetSpark is an afterschool Maths and English learning program for pre teen kids between Grades 2nd to 7th,2018
Wheelsemi,,Mid Stage,14000000.0,Pune,WheelsEMI is the brand name of NBFC WheelsEMI Pvt Ltd,2018
Forum For Innovation Incubation Research And Entrepreneurship,Funding Platform,Other Stages,1496500.0,Margão,FiiRE a technology business incubator helps the startup process to move from the garage to the lab,2018
Oyo,Hospitality,Late Stage,100000000.0,Gurugram,OYO is an Indian hospitality startup that operates a network of budget hotels,2018
Quikr,Classifieds,Other Stages,8030000.0,Bengaluru,Quikr is a free classifieds and online marketplace that helps users sell buy rent or discover anything across India,2018
Tabono,Sports,Early Stage,1300000.0,Gurugram,Tabono is a one stop environment for all your fitness solution,2018
Learnapp,Banking,Early Stage,292000.0,Noida,Learnappco  Video courses  live classes in investing trading banking and finance,2018
Shopkirana,E-Commerce,,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation,2018
Fric Bergen,,Apps,1300000.0,Alwar,Fric Bergen is a leader in the specialty food industry,2018
Articbot,Artificial Intelligence,Other Stages,17520.0,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018
Buildsupply,Enterprise Resource Planning (Erp),Mid Stage,3650000.0,Gurugram,Indias most advanced ERP system for the real estate,2018
Fusion Microfinance,Banking,Late Stage,75920000.0,New Delhi,Fusion Microfinance Pvt Ltd is an NBFC registered with RBI,2018
Any Time Doctor,Software,Other Stages,1300000.0,Chennai,Anytime Doctor is a Software company,2018
Go Payments,Information Services,Other Stages,1300000.0,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep,2018
Guiddoo World,Audio,Early Stage,800000.0,Mumbai,We build InDestination Experiences,2018
Ion Energy,Energy,Financial Services,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems,2018
Unotag,Artificial Intelligence,Other Stages,100000.0,Bengaluru,SaaS to verify counterfeit,2018
Civilcops,Government,Other Stages,100000.0,Gurugram,GovTech,2018
Rockmetric,Information Technology,Other Stages,1300000.0,Mumbai,Smarter analytics to understand how each customer uses your product Drive growth in conversion retention and engagement,2018
Classworks India,Education,,1460.0,Chennai,Saas Web App Mobile App School Education,2018
Snapmint,Consumer Lending,Early Stage,1300000.0,Mumbai,Snapmint facilitates simplified fairlypriced and hasslefree EMI options without a Credit Card,2018
Artbandhu,Digital Media,Other Stages,15000.0,Bengaluru,Ai platform for Art and Creative Community,2018
Survaider,Business Intelligence,Early Stage,500000.0,Bengaluru,Stethoscope for customer feedback ,2018
Credy,Credit,Early Stage,1400000.0,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns,2018
Ichamp,E-Learning,Early Stage,5000000.0,Gurugram,iChamp is an e education innovation product from RNM EServices Pvt Ltd,2018
Qandle,Software,Early Stage,1200000.0,Gurugram,A cloudbased HR management and employee engagement platform,2018
Avishkaar Box,Children,Early Stage,730000.0,New Delhi,Avishkaar Box is just not another box full of material rather it is a well researched thought through solution,2018
Gegadyne Energy,Automotive,Other Stages,1300000.0,Mumbai,A Mumbaibased startup Electric Vehicle EV  Energy Storage company,2018
Hyperxchange,E-Commerce,Mid Stage,1000000.0,Pune,hyperXchange is Indias fastest growing O2O marketplace for premium refurb gadgets,2018
Deftouch,,Early Stage,1300000.0,Bengaluru,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game,2018
Doodhwala,Food Delivery,Early Stage,2200000.0,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients requirement,2018
Dronahq,Mobile,Other Stages,500000.0,Mumbai,DronaHQ is an enterprise mobile engagement platform,2018
Fastfox,Rental,Mid Stage,1460000.0,Gurugram,FastFox Market Network for Home Rentals India,2018
Buyforexonline,Travel,Financial Services,2000000.0,Bengaluru,BuyForexOnlinecom is Indias first completely online provider for buying Foreign Exchange,2018
Colive.In,Consumer,Early Stage,1800000.0,Bengaluru,A technology powered network of Branded Serviced Homes conveniently located near educational institutions  workplaces,2018
Agricxlab Private Limited,B2B,Early Stage,500000.0,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018
Corefactors,,Early Stage,1300000.0,Bengaluru,Corefactors is a leading campaign management business communication and analytics company,2018
Fincash.Com,Wealth Management,Early Stage,150000.0,Mumbai,A startup in the personal finance space in India ,2018
Pandorum Technologies,Biotechnology,Mid Stage,3600000.0,Bengaluru,Bengaluru based biotech startup,2018
Shirsa Labs,Education,Early Stage,500000.0,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games,2018
Petsutra,Veterinary,Early Stage,138700.0,Gurugram,Gurugrambased Online petcare platform,2018
Awaaz De,Internet,Other Stages,1300000.0,Ahmedabad,AwwazDe develops inclusive mobile solutions that enable organizations to achieve lastmile connectivity for social impact,2018
Pinkblue,Health Care,Early Stage,300000.0,Bengaluru,PinkBluein  Superefficient supplychain for clinical supplies,2018
Eduvanz,Finance,Other Stages,500000.0,Mumbai,Eduvanz is new innovative finance company which is completely revolutionizing the student loan market,2018
Rupeek,Financial Services,Mid Stage,6830000.0,Bengaluru,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans,2018
Backpacker Panda Holidays Private Limited,Tourism,Mid Stage,1400000.0,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel,2018
Shape (School Health And Physical Education),Education,Early Stage,200000.0,Pune,Physical education start up,2018
Placio,Hospitality,Early Stage,2000000.0,Noida,Placio is a student housing and a complete brokerfree platform,2018
Aviom India Housing Finance,Finance,Mid Stage,2190000.0,New Delhi,Delhi based housing finance company,2018
Genrobotic,Market Research,Early Stage,1300000.0,Trivandrum,A Robotic Company,2018
Heyholidays,Tourism,Early Stage,1000000.0,Bengaluru,HeyHolidays a global player in online vacation rentals,2018
Pratilipi,Digital Media,Mid Stage,4300000.0,Bengaluru,Amazons Kindle Direct Publishing for Indian Languages,2018
Sectorqube,Consumer Electronics,Early Stage,1300000.0,Ernakulam,SectorQube develops smart kitchen devices that make food automatically,2018
Food Memories,Food And Beverage,Early Stage,1300000.0,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally,2018
Zamroo,Internet,Early Stage,1300000.0,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally,2018
Silversparro Technologies Pvt. Ltd,Analytics,Early Stage,300000.0,Gurugram,Silversparro is a deep learning technology solution provider,2018
Creator’S Gurukul,Facilities Support Services,Other Stages,1300000.0,Gurugram,A coworking space provider,2018
Emflux Motors,Automotive,Early Stage,364846.0,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation,2018
Tricog Health Services Pvt Ltd,Health Care,Mid Stage,4000000.0,Bengaluru,Predictive Healthcare Analytics Company,2018
Scapic,Cloud Computing,Early Stage,500000.0,Bengaluru,VirtualAugmented Reality Start Up ,2018
6Degree,Fashion,Early Stage,400000.0,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018
Chrysalis (Ez Vidya),Education,Early Stage,1300000.0,Chennai,Chrysalis EZ Vidya is Indias leading educational research and innovation organization,2018
Ekincare,Medical,Mid Stage,1500000.0,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere,2018
Streo,Music Streaming,Early Stage,1300000.0,Gurugram,Live stream music from nightclubs bars  festivals,2018
Groww,Finance,Early Stage,120000.0,Kormangala,Groww offers a new way of investing money,2018
Cell Propulsion,,Early Stage,102200.0,Bengaluru,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles,2018
Chezuba,Internet,Other Stages,20440.0,Hyderabad,Chezuba is a webbased platform enabling skilled professionals to volunteer online with Nonprofits worldwide,2018
Ontrack Technologies Pvt. Ltd,Retail,Early Stage,1300000.0,Bengaluru,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis,2018
Wealthtrust,Finance,Early Stage,500000.0,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online,2018
Faclon Labs,Cloud Computing,Early Stage,1300000.0,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart,2018
Awign Enterprises,Business Development,Early Stage,730000.0,Bengaluru,Operations and manpower outsourcing startup,2018
Collpoll,Education,Early Stage,1300000.0,Bengaluru,Worldclass Enterprise System for Education,2018
Zyla Health,Health Care,Early Stage,1300000.0,New Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on highrisk chronic patients,2018
Hubhopper,Internet,Mid Stage,500000.0,New Delhi,Get your daily dose of interest as summaries from news and magazine stories ,2018
Rubix108 Technologies,Information Technology,Early Stage,1000000.0,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the days learning experiences,2018
Workflexi,Human Resources,Early Stage,146000.0,Bengaluru,Be Smart Work on ContractBe Smart Hire on Contract,2018
Streak,Financial Services,Early Stage,328500.0,Bengaluru,Algorithmic trading platform,2018
Kuants,Financial Services,Early Stage,73000.0,Gurugram,Algorithmic trading platform,2018
Niyo Solutions,Finance,Mid Stage,13200000.0,Bengaluru,NiYO is a fintech company that helps salaried employees access company benefits and other financial services,2018
Hippo Video,Customer Service,Early Stage,1300000.0,Chennai,A video recording and sharing software,2018
Satvacart,E-Commerce,Early Stage,1300000.0,Gurugram,Satvacart is a Gurgaons largest online supermarket,2018
Daaki,Health Care,Other Stages,1300000.0,Bengaluru,Sports Nutrition startup,2018
Simulanis,Training,Early Stage,500000.0,New Delhi,A Delhibased Augmented Reality and Virtual Reality technology development company,2018
My Chiraag Cab,Travel,Early Stage,1000000.0,Jaipur,MY CHIRAAG CAB SERVICES PVT LTD,2018
Wotu,Food And Beverage,Early Stage,1300000.0,Bengaluru,It operates a businesstobusiness ecommerce portal for food and beverages,2018
Flathalt,,Other Stages,50000.0,Gurugram,FInd your Customized Home here,2018
